,model_h11_logit,model_h11_probit,model_h11_qp
Dependent Var.:,nags_any_support,nags_any_support,nags_any_support
 , , , 
Constant,11.05*** (1.222),4.305*** (0.5904),6.155*** (0.9253)
OppositionSizeNorm,0.1542** (0.0581),0.0493* (0.0223),0.0935. (0.0555)
PoliticalBandwidth,1.863 (1.645),0.6501 (0.6602),4.403** (1.623)
LogCapitalDistance,-1.305*** (0.1118),-0.5584*** (0.0527),-0.8036*** (0.0770)
SenderCINCLog,0.4614*** (0.0391),0.1906*** (0.0163),0.4122*** (0.0438)
TargetCINCLog,0.4063*** (0.0369),0.1618*** (0.0160),0.3507*** (0.0377)
cold_war,-0.1903* (0.0882),-0.0795* (0.0350),-0.1535. (0.0807)
war_on_terror,-0.2206** (0.0853),-0.0902** (0.0341),-0.2869*** (0.0753)
__________________,__________________,___________________,___________________
Family,Logit,Probit,"quasipoisson(""log"")"
S.E.: Clustered,by: dyad,by: dyad,by: dyad
Observations,"1,126,609","1,126,609","1,126,609"
Squared Cor.,0.03735,0.03934,0.00392
Pseudo R2,0.25559,0.26937,--
BIC,"57,307.7","56,248.9",--
