,model_h12_nb_total,model_h12_nb_active,model_h12_nb_defacto
Dependent Var.:,TrainingCamps,ActiveTrainingCamps,DeFactoTrainingCamps
 , , , 
Constant,16.59*** (1.499),15.03*** (1.702),15.71*** (1.737)
OppositionSizeNorm,0.6302*** (0.1227),0.5678** (0.1736),0.6699*** (0.1652)
DynamicLeader,0.0440 (0.0907),0.1619 (0.1187),-0.0550 (0.1205)
PoliticalBandwidth,-2.132 (2.333),-5.799. (2.970),1.831 (3.460)
LogCapitalDistance,-1.979*** (0.1145),-1.901*** (0.1433),-1.951*** (0.1155)
SenderCINCLog,0.4527*** (0.0639),0.4055*** (0.0831),0.4997*** (0.0816)
TargetCINCLog,0.6584*** (0.0842),0.5830*** (0.0810),0.7104*** (0.1134)
cold_war,0.1049 (0.1737),0.0368 (0.2095),0.1146 (0.2454)
war_on_terror,-0.2078 (0.1613),-0.8867*** (0.2367),0.2135 (0.2242)
OppositionSizeNorm x DynamicLeader,-0.0562 (0.0665),-0.0428 (0.0897),-0.0412 (0.0842)
__________________________________,__________________,___________________,____________________
S.E.: Clustered,by: dyad,by: dyad,by: dyad
Observations,"1,126,609","1,126,609","1,126,609"
Squared Cor.,0.00019,3.88e-8,0.00023
Pseudo R2,0.28917,0.26226,0.30818
BIC,"23,125.1","12,790.2","13,908.1"
Over-dispersion,0.06243,0.04587,0.05176
