,model_h4_qp,model_h4a_qp,model_h4b_qp,model_h4c_qp,model_h4_sub_qp
Dependent Var.:,IdeologyMatch,IdeologyMatch,IdeologyMatch,IdeologyMatch,IdeologyMatch
 , , , , , 
Constant,7.738*** (1.043),3.446** (1.189),5.160*** (1.145),5.852*** (0.9947),1.694** (0.5588)
RevisionistLegitimation,0.5209*** (0.0942),  ,  ,  ,0.1567** (0.0500)
PoliticalBandwidth,-2.754 (2.270),-4.128* (1.762),-2.804 (2.120),-3.306 (2.084),-1.920. (1.038)
LogCapitalDistance,-0.9798*** (0.0768),-0.6560*** (0.0770),-0.8440*** (0.0736),-0.8483*** (0.0733),-0.1557** (0.0539)
SenderCINCLog,0.5216*** (0.0697),0.3961*** (0.0605),0.3870*** (0.0609),0.4905*** (0.0707),0.0430 (0.0420)
TargetCINCLog,0.4204*** (0.0566),0.1481** (0.0521),0.3075*** (0.0574),0.3202*** (0.0461),0.1421*** (0.0418)
cold_war,-0.4164** (0.1527),-0.2686* (0.1268),-0.1911 (0.1371),0.2484* (0.1196),-0.0229 (0.0850)
war_on_terror,-1.122*** (0.1550),-0.5281*** (0.1446),-0.7858*** (0.1454),-0.7953*** (0.1474),-0.6659*** (0.1058)
NationalistLegitimation,  ,-3.510*** (0.4499),  ,  ,  
nags_ethnonationalist,  ,3.024*** (0.4871),  ,  ,  
NationalistLegitimation x nags_ethnonationalist,  ,4.570*** (0.6224),  ,  ,  
SocialistLegitimation,  ,  ,-0.5550 (0.4510),  ,  
nags_leftist,  ,  ,3.314*** (0.3586),  ,  
SocialistLegitimation x nags_leftist,  ,  ,1.862*** (0.5437),  ,  
ReligiousLegitimation,  ,  ,  ,-1.583** (0.5007),  
nags_religious,  ,  ,  ,3.139*** (0.3204),  
ReligiousLegitimation x nags_religious,  ,  ,  ,2.885*** (0.6588),  
________________________________________,___________________,___________________,___________________,___________________,___________________
S.E.: Clustered,by: dyad,by: dyad,by: dyad,by: dyad,by: dyad
Observations,"1,083,906","1,083,906","1,083,906","1,083,906","3,122"
Squared Cor.,0.00246,0.26953,0.14303,0.10945,0.16962
