,model_h6_nb,model_h6_qp,model_h6_sub_nb
Dependent Var.:,nags_support_count,nags_support_count,nags_support_count
 , , , 
Constant,9.223*** (1.342),3.687*** (0.9793),1.312*** (0.3447)
`RevisionistLeader`,0.3814*** (0.0736),0.4163*** (0.0738),0.0381* (0.0176)
`NAGTargetsDemocracy`,5.022*** (0.5383),4.211*** (0.2753),0.0007 (0.1197)
`PoliticalBandwidth`,4.346* (2.024),5.908*** (1.717),0.3689 (0.5351)
`LogCapitalDistance`,-1.404*** (0.1153),-0.8174*** (0.0721),-0.1319*** (0.0321)
`SenderCINC(log)`,0.4243*** (0.0556),0.3393*** (0.0530),0.0286 (0.0207)
`TargetCINC(log)`,0.2087*** (0.0391),0.1755*** (0.0387),0.0100 (0.0221)
cold_war,-0.1734 (0.1512),-0.1188 (0.1263),0.0518 (0.0692)
war_on_terror,-0.5613*** (0.1283),-0.4780*** (0.1021),-0.0385 (0.0384)
`RevisionistLeader` x `NAGTargetsDemocracy`,-0.0691 (0.3192),-0.0808 (0.1269),0.0734 (0.0806)
________________________________________,___________________,___________________,___________________
Family,Neg. Bin.,"quasipoisson(""log"")",Neg. Bin.
S.E.: Clustered,by: dyad,by: dyad,by: dyad
Observations,"1,126,609","1,126,609","3,276"
Squared Cor.,0.00593,0.14145,0.09567
Pseudo R2,0.28673,--,0.01290
BIC,"35,199.6",--,"7,846.2"
Over-dispersion,0.15400,--,"10,000"
