,model_h7_ideol_nb,model_h7_ideol_1..,model_h7_persona..,model_h7_any_logit,model_h7_any_probit,model_h7_sub_nb
Dependent Var.:,nags_support_count,nags_support_count,nags_support_count,nags_any_support,nags_any_support,nags_support_count
 , , , , , , 
Constant,12.42*** (1.054),13.69*** (1.040),12.42*** (1.053),10.38*** (1.173),4.061*** (0.5479),1.441*** (0.3781)
`IdeologicalLegitimationRatio(norm)`,0.0228 (0.0680),0.0476 (0.0603),  ,0.0403 (0.0436),0.0167 (0.0167),-0.0038 (0.0250)
`RevisionistDomesticIdeology`,0.4007*** (0.0637),  ,0.4017*** (0.0637),0.1352** (0.0493),0.0604** (0.0190),0.0515* (0.0208)
`PoliticalBandwidth`,-0.0126 (0.0840),-0.1082 (0.0832),-0.0120 (0.0839),0.1136. (0.0650),0.0404 (0.0259),-0.0056 (0.0199)
`LogCapitalDistance`,-1.612*** (0.0885),-1.632*** (0.0913),-1.612*** (0.0885),-1.288*** (0.1110),-0.5551*** (0.0506),-0.1352*** (0.0355)
`SenderCINC(log)`,0.4809*** (0.0518),0.5651*** (0.0485),0.4801*** (0.0517),0.4189*** (0.0390),0.1729*** (0.0161),0.0268 (0.0208)
`TargetCINC(log)`,0.3522*** (0.0442),0.3806*** (0.0436),0.3521*** (0.0442),0.3875*** (0.0358),0.1561*** (0.0152),0.0194 (0.0235)
`PersonalistLegitimationRatio`,  ,  ,-0.0063 (0.0039),  ,  ,  
____________________________________,__________________,__________________,__________________,__________________,___________________,___________________
Family,Neg. Bin.,Neg. Bin.,Neg. Bin.,Logit,Probit,Neg. Bin.
S.E.: Clustered,by: dyad,by: dyad,by: dyad,by: dyad,by: dyad,by: dyad
Observations,"1,126,609","1,126,609","1,126,609","1,126,609","1,126,609","3,276"
Squared Cor.,1.2e-7,3.98e-10,1.23e-7,0.03375,0.03722,0.07944
Pseudo R2,0.23528,0.22234,0.23530,0.25560,0.27048,0.01123
BIC,"37,686.7","38,308.7","37,685.7","57,293.1","56,149.7","7,835.1"
Over-dispersion,0.07083,0.06910,0.07082,--,--,"10,000"
